,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Featuretype,Selection_size,Selection_method
10431,RandomForest,pKd pKi pIC50,ki,1.3884189473684212,2.8463441691929816,1.118654870825193,0.649369,[0.589 ~ 0.702],0.3958,GAP,size110,r regression 
10432,XGBoost,pKd pKi pIC50,ki,1.4367791994998331,3.1927673072545484,1.354534387588501,0.570233,[0.5 ~ 0.633],0.322264,GAP,size110,r regression 
10433,linearRegression,pKd pKi pIC50,ki,1.3273295710167017,2.6650342860666862,1.2434680170650296,0.675391,[0.619 ~ 0.725],0.434287,final,size110,mutual info regression
10434,Ridge,pKd pKi pIC50,ki,1.3203179783323322,2.667920590156143,1.2092529604548072,0.676861,[0.62 ~ 0.726],0.433674,final,size110,mutual info regression
10435,Lasso,pKd pKi pIC50,ki,1.3035095301409256,2.595253834334988,1.1468038544515773,0.695961,[0.642 ~ 0.743],0.4491,final,size110,mutual info regression
10436,ElasticNet,pKd pKi pIC50,ki,1.309738501243383,2.6138339185408968,1.1233066949058956,0.696491,[0.643 ~ 0.744],0.445156,final,size110,mutual info regression
10437,SVR,pKd pKi pIC50,ki,1.3370050611301807,2.7955801479117524,1.0735476893013127,0.662798,[0.604 ~ 0.714],0.406576,final,size110,mutual info regression
10438,DecisionTree,pKd pKi pIC50,ki,1.6667017543859648,4.364441052631579,1.8019148598654031,0.464365,[0.384 ~ 0.538],0.07355,final,size110,mutual info regression
10439,RandomForest,pKd pKi pIC50,ki,1.3189294736842103,2.6958891219298247,1.1016196999669945,0.676665,[0.62 ~ 0.726],0.427738,final,size110,mutual info regression
10440,XGBoost,pKd pKi pIC50,ki,1.3477359705138623,2.8842992195048835,1.4499027729034424,0.624651,[0.561 ~ 0.681],0.387743,final,size110,mutual info regression
10441,linearRegression,pKd pKi pIC50,ki,1017263333.8709276,2.9492503594759274e+20,17143226395.677755,-0.079731,[-0.176 ~ 0.018],-6.260440252475395e+19,GAP,size110,mutual info regression
10442,Ridge,pKd pKi pIC50,ki,1016304522.4225428,2.9436934057601296e+20,17127068216.422934,-0.079731,[-0.176 ~ 0.018],-6.248644381496945e+19,GAP,size110,mutual info regression
10443,Lasso,pKd pKi pIC50,ki,913218884.5273974,2.376810876345748e+20,15389838170.045605,-0.079731,[-0.176 ~ 0.018],-5.04531005141264e+19,GAP,size110,mutual info regression
10444,ElasticNet,pKd pKi pIC50,ki,967019391.0741488,2.665110524677637e+20,16296500420.690094,-0.079731,[-0.176 ~ 0.018],-5.65729021694602e+19,GAP,size110,mutual info regression
10445,SVR,pKd pKi pIC50,ki,1.3027293295072984,2.621401539499816,1.1054049974141604,0.694441,[0.64 ~ 0.742],0.443549,GAP,size110,mutual info regression
10446,DecisionTree,pKd pKi pIC50,ki,1.6476842105263156,4.452149122807018,1.776404243325064,0.443022,[0.361 ~ 0.518],0.054932,GAP,size110,mutual info regression
10447,RandomForest,pKd pKi pIC50,ki,1.3039799999999997,2.590084350140351,1.1786898789819162,0.692608,[0.638 ~ 0.74],0.450197,GAP,size110,mutual info regression
10448,XGBoost,pKd pKi pIC50,ki,1.3427782256477756,2.756666761880248,1.4217759370803833,0.64418,[0.583 ~ 0.698],0.414836,GAP,size110,mutual info regression
10449,linearRegression,pKd pKi pIC50,ki,3.1613746398279384e+22,2.84837253980396e+47,5.327643240862336e+23,-0.079731,[-0.176 ~ 0.018],-6.046304629561183e+46,final,size115,f regression 
10450,Ridge,pKd pKi pIC50,ki,277854263.5548213,2.2002852359178605e+19,4682483247.854068,-0.079731,[-0.176 ~ 0.018],-4.670595093295242e+18,final,size115,f regression 
10451,Lasso,pKd pKi pIC50,ki,1.6947015094350242,46.23296682303216,6.72177270337146,0.134316,[0.037 ~ 0.229],-8.813976,final,size115,f regression 
10452,ElasticNet,pKd pKi pIC50,ki,235389887.46317533,1.5791393516506214e+19,3966860864.281588,-0.079731,[-0.176 ~ 0.018],-3.35207471606384e+18,final,size115,f regression 
10453,SVR,pKd pKi pIC50,ki,1.359524107397809,2.8765576624154474,1.075619366693509,0.641535,[0.58 ~ 0.696],0.389387,final,size115,f regression 
10454,DecisionTree,pKd pKi pIC50,ki,1.670561403508772,4.4323,1.7485579534547089,0.441579,[0.359 ~ 0.517],0.059146,final,size115,f regression 
10455,RandomForest,pKd pKi pIC50,ki,1.309405263157895,2.6616633112631574,1.118881614815846,0.682864,[0.627 ~ 0.732],0.435003,final,size115,f regression 
10456,XGBoost,pKd pKi pIC50,ki,1.3285744431813558,2.6707784604170586,1.4454401731491089,0.659064,[0.6 ~ 0.711],0.433068,final,size115,f regression 
10457,linearRegression,pKd pKi pIC50,ki,2.7349789398579303e+21,2.1318312934179263e+45,4.609068434745203e+22,-0.079731,[-0.176 ~ 0.018],-4.525286365709505e+44,GAP,size115,f regression 
10458,Ridge,pKd pKi pIC50,ki,159906612.46285334,7.287485362373065e+18,2694794099.2059536,-0.079731,[-0.176 ~ 0.018],-1.5469309533298696e+18,GAP,size115,f regression 
10459,Lasso,pKd pKi pIC50,ki,1.6976700191163543,46.0998191452204,6.7126451527452575,0.134779,[0.038 ~ 0.229],-8.785713,GAP,size115,f regression 
10460,ElasticNet,pKd pKi pIC50,ki,66328138.29290168,1.253835182800693e+18,1117781624.7570844,-0.079731,[-0.176 ~ 0.018],-2.661544220264212e+17,GAP,size115,f regression 
10461,SVR,pKd pKi pIC50,ki,1.3471831462094463,2.8062336724395154,1.111164794886088,0.651158,[0.591 ~ 0.704],0.404314,GAP,size115,f regression 
10462,DecisionTree,pKd pKi pIC50,ki,1.710421052631579,4.692874035087719,1.9980752092214,0.462391,[0.382 ~ 0.536],0.003833,GAP,size115,f regression 
10463,RandomForest,pKd pKi pIC50,ki,1.2821824561403508,2.561361704842105,1.1725544000385129,0.696015,[0.642 ~ 0.743],0.456294,GAP,size115,f regression 
10464,XGBoost,pKd pKi pIC50,ki,1.3313768842262137,2.739850824746067,1.3842823505401611,0.64813,[0.588 ~ 0.701],0.418406,GAP,size115,f regression 
10465,linearRegression,pKd pKi pIC50,ki,1.9468209600685636e+21,1.0801818774102502e+45,3.280840998219341e+22,-0.079731,[-0.176 ~ 0.018],-2.2929264325105422e+44,final,size115,r regression 
10466,Ridge,pKd pKi pIC50,ki,269453285.1676392,2.069244544843397e+19,4540907439.552616,-0.079731,[-0.176 ~ 0.018],-4.392432062991997e+18,final,size115,r regression 
10467,Lasso,pKd pKi pIC50,ki,2.1206416849179592,104.4928631715796,10.122765278714718,0.085327,[-0.012 ~ 0.181],-21.180936,final,size115,r regression 
10468,ElasticNet,pKd pKi pIC50,ki,200866918.8255897,1.1499042685602984e+19,3385069447.7047687,-0.079731,[-0.176 ~ 0.018],-2.4409277246531866e+18,final,size115,r regression 
10469,SVR,pKd pKi pIC50,ki,1.5157472843495834,3.5482888429045163,1.0357967138635849,0.539443,[0.466 ~ 0.605],0.246797,final,size115,r regression 
10470,DecisionTree,pKd pKi pIC50,ki,1.8069473684210529,4.949877192982456,1.8426028547665847,0.394886,[0.309 ~ 0.474],-0.050722,final,size115,r regression 
10471,RandomForest,pKd pKi pIC50,ki,1.5163789473684206,3.391863155157893,1.0517161926750356,0.54967,[0.478 ~ 0.614],0.280002,final,size115,r regression 
10472,XGBoost,pKd pKi pIC50,ki,1.5398387468906871,3.723793281983163,1.3310980796813965,0.493177,[0.416 ~ 0.564],0.209542,final,size115,r regression 
10473,linearRegression,pKd pKi pIC50,ki,4.931987070322046e+22,6.932481491619793e+47,8.311532346780564e+23,-0.079731,[-0.176 ~ 0.018],-1.4715734810451743e+47,GAP,size115,r regression 
10474,Ridge,pKd pKi pIC50,ki,279773534.5744007,2.2307870445835964e+19,4714827379.048371,-0.079731,[-0.176 ~ 0.018],-4.735341970457005e+18,GAP,size115,r regression 
10475,Lasso,pKd pKi pIC50,ki,1.6937054162153908,27.59005938177543,5.117676461211757,0.161347,[0.065 ~ 0.255],-4.856604,GAP,size115,r regression 
10476,ElasticNet,pKd pKi pIC50,ki,241652307.08810216,1.6642813456782864e+19,4072397035.950008,-0.079731,[-0.176 ~ 0.018],-3.532807546992962e+18,GAP,size115,r regression 
10477,SVR,pKd pKi pIC50,ki,1.3982547203214046,3.0300064395315425,1.0498376525421167,0.631412,[0.569 ~ 0.687],0.356814,GAP,size115,r regression 
10478,DecisionTree,pKd pKi pIC50,ki,1.686456140350877,4.488814736842104,1.930377731245308,0.471221,[0.392 ~ 0.544],0.047149,GAP,size115,r regression 
10479,RandomForest,pKd pKi pIC50,ki,1.3819238596491228,2.845318737017544,1.10309950315308,0.653449,[0.594 ~ 0.706],0.396018,GAP,size115,r regression 
10480,XGBoost,pKd pKi pIC50,ki,1.4510967361383271,3.2099032903939912,1.3708975315093994,0.568148,[0.498 ~ 0.631],0.318627,GAP,size115,r regression 
10481,linearRegression,pKd pKi pIC50,ki,1.338349080907614,2.754222164742913,1.2342748555436005,0.654068,[0.594 ~ 0.707],0.415355,final,size115,mutual info regression
10482,Ridge,pKd pKi pIC50,ki,1.343625156488924,2.739086956232652,1.2024225610714991,0.66153,[0.603 ~ 0.713],0.418568,final,size115,mutual info regression
10483,Lasso,pKd pKi pIC50,ki,1.316433607830903,2.6202947167679054,1.133345090430746,0.69087,[0.636 ~ 0.739],0.443784,final,size115,mutual info regression
10484,ElasticNet,pKd pKi pIC50,ki,1.3177303944231658,2.624368083266761,1.0982632111694912,0.697207,[0.643 ~ 0.744],0.442919,final,size115,mutual info regression
10485,SVR,pKd pKi pIC50,ki,1.355796867194328,2.781744480059908,1.055803121561062,0.673324,[0.616 ~ 0.723],0.409513,final,size115,mutual info regression
10486,DecisionTree,pKd pKi pIC50,ki,1.7047719298245614,4.697136842105264,1.821583431413248,0.43039,[0.347 ~ 0.507],0.002928,final,size115,mutual info regression
10487,RandomForest,pKd pKi pIC50,ki,1.2959228070175437,2.607313964701754,1.1155761966654054,0.695328,[0.641 ~ 0.743],0.44654,final,size115,mutual info regression
10488,XGBoost,pKd pKi pIC50,ki,1.3247701329683002,2.752380812471809,1.5123097896575928,0.648924,[0.589 ~ 0.702],0.415746,final,size115,mutual info regression
10489,linearRegression,pKd pKi pIC50,ki,1.350071056759331,3.209185093894354,1.5732080995916553,0.588834,[0.521 ~ 0.649],0.318779,GAP,size115,mutual info regression
10490,Ridge,pKd pKi pIC50,ki,1.315870326431014,2.618757557944372,1.2300752970417472,0.680521,[0.624 ~ 0.73],0.44411,GAP,size115,mutual info regression
10491,Lasso,pKd pKi pIC50,ki,1.3002708873165387,2.5493868946107696,1.1861594895098726,0.697566,[0.644 ~ 0.744],0.458836,GAP,size115,mutual info regression
10492,ElasticNet,pKd pKi pIC50,ki,1.3058768688427762,2.564670363378068,1.190710042419642,0.693733,[0.639 ~ 0.741],0.455592,GAP,size115,mutual info regression
10493,SVR,pKd pKi pIC50,ki,1.322313061995056,2.677528492330908,1.0956135195384926,0.685572,[0.63 ~ 0.734],0.431635,GAP,size115,mutual info regression
10494,DecisionTree,pKd pKi pIC50,ki,1.6759298245614036,4.432472280701754,1.790133856208966,0.44857,[0.367 ~ 0.523],0.059109,GAP,size115,mutual info regression
10495,RandomForest,pKd pKi pIC50,ki,1.3009659649122804,2.6159270776491224,1.1581106386080418,0.691036,[0.636 ~ 0.739],0.444711,GAP,size115,mutual info regression
10496,XGBoost,pKd pKi pIC50,ki,1.3827551834374143,3.014549088585275,1.4228302240371704,0.602462,[0.536 ~ 0.661],0.360095,GAP,size115,mutual info regression
10497,linearRegression,pKd pKi pIC50,ki,1.5887384385014928e+22,7.193656004020662e+46,2.677389606643183e+23,0.079731,[-0.018 ~ 0.176],-1.5270135838191406e+46,final,size120,f regression 
10498,Ridge,pKd pKi pIC50,ki,286347688.3471053,2.33685742971812e+19,4825616986.206151,-0.079731,[-0.176 ~ 0.018],-4.960499969186465e+18,final,size120,f regression 
10499,Lasso,pKd pKi pIC50,ki,1.6957341817737095,46.81196235341627,6.765252324257922,0.133662,[0.037 ~ 0.228],-8.936881,final,size120,f regression 
10500,ElasticNet,pKd pKi pIC50,ki,241579115.9126324,1.6632733493883857e+19,4071163595.804217,-0.079731,[-0.176 ~ 0.018],-3.530667850535058e+18,final,size120,f regression 
10501,SVR,pKd pKi pIC50,ki,1.3623999581017177,2.9057689548272214,1.0695692077686263,0.635897,[0.574 ~ 0.691],0.383186,final,size120,f regression 
10502,DecisionTree,pKd pKi pIC50,ki,1.6381754385964915,4.3365214035087725,1.7186112755734386,0.44922,[0.368 ~ 0.524],0.079477,final,size120,f regression 
10503,RandomForest,pKd pKi pIC50,ki,1.3194252631578949,2.684296317122807,1.133487137158832,0.677483,[0.621 ~ 0.727],0.430198,final,size120,f regression 
10504,XGBoost,pKd pKi pIC50,ki,1.271171045905665,2.493364046925089,1.4396579265594482,0.686686,[0.631 ~ 0.735],0.470728,final,size120,f regression 
10505,linearRegression,pKd pKi pIC50,ki,1.3028666592167917e+23,4.837765365341362e+48,2.195629921007722e+24,-0.079731,[-0.176 ~ 0.018],-1.0269233647087261e+48,GAP,size120,f regression 
10506,Ridge,pKd pKi pIC50,ki,267136160.44851544,2.033809225671772e+19,4501858563.7024975,-0.079731,[-0.176 ~ 0.018],-4.3172127118139633e+18,GAP,size120,f regression 
10507,Lasso,pKd pKi pIC50,ki,1.645123497068032,34.99864302503824,5.82464128673336,0.152112,[0.055 ~ 0.246],-6.429241,GAP,size120,f regression 
10508,ElasticNet,pKd pKi pIC50,ki,99353318.63095962,2.813258250835769e+18,1674331857.360697,-0.079731,[-0.176 ~ 0.018],-5.971766736436172e+17,GAP,size120,f regression 
10509,SVR,pKd pKi pIC50,ki,1.3459047341833514,2.810836737349795,1.1060127512047042,0.651171,[0.591 ~ 0.704],0.403337,GAP,size120,f regression 
10510,DecisionTree,pKd pKi pIC50,ki,1.6801403508771928,4.6248350877192985,1.9779337126461132,0.465867,[0.386 ~ 0.539],0.018276,GAP,size120,f regression 
10511,RandomForest,pKd pKi pIC50,ki,1.2868649122807017,2.560007429789473,1.1743551273934705,0.69633,[0.642 ~ 0.743],0.456581,GAP,size120,f regression 
10512,XGBoost,pKd pKi pIC50,ki,1.3313904212483187,2.773964743491057,1.452303409576416,0.642486,[0.581 ~ 0.696],0.411164,GAP,size120,f regression 
10513,linearRegression,pKd pKi pIC50,ki,3.469264751356545e+22,3.430202405776423e+47,5.8465088795463385e+23,-0.079731,[-0.176 ~ 0.018],-7.28136800806447e+46,final,size120,r regression 
10514,Ridge,pKd pKi pIC50,ki,266636175.02391267,2.026203185123754e+19,4493432652.265924,-0.079731,[-0.176 ~ 0.018],-4.301067198003724e+18,final,size120,r regression 
10515,Lasso,pKd pKi pIC50,ki,2.3253004044571672,180.88808830887052,13.364104810688373,0.069373,[-0.028 ~ 0.166],-37.397522,final,size120,r regression 
10516,ElasticNet,pKd pKi pIC50,ki,206302185.66122723,1.2129768391438426e+19,3476666190.312982,-0.079731,[-0.176 ~ 0.018],-2.574813292705972e+18,final,size120,r regression 
10517,SVR,pKd pKi pIC50,ki,1.5130600952642308,3.5442622363758054,1.0348199895912715,0.534747,[0.461 ~ 0.601],0.247651,final,size120,r regression 
10518,DecisionTree,pKd pKi pIC50,ki,1.8879298245614036,5.408589473684211,1.8935473732291392,0.351861,[0.263 ~ 0.435],-0.148093,final,size120,r regression 
10519,RandomForest,pKd pKi pIC50,ki,1.5052838596491227,3.358288657298245,1.07088807591904,0.56089,[0.49 ~ 0.624],0.287128,final,size120,r regression 
10520,XGBoost,pKd pKi pIC50,ki,1.5485646337207994,3.6742855064889057,1.314874529838562,0.512549,[0.437 ~ 0.581],0.220051,final,size120,r regression 
10521,linearRegression,pKd pKi pIC50,ki,6.897190743789464e+22,1.3557803444521293e+48,1.1623352444267135e+24,0.079731,[-0.018 ~ 0.176],-2.8779455140699954e+47,GAP,size120,r regression 
10522,Ridge,pKd pKi pIC50,ki,287880843.5724226,2.361948303037496e+19,4851454178.830751,-0.079731,[-0.176 ~ 0.018],-5.013760931855737e+18,GAP,size120,r regression 
10523,Lasso,pKd pKi pIC50,ki,1.7025604042285294,28.96559875429594,5.25238855960779,0.157872,[0.061 ~ 0.252],-5.148593,GAP,size120,r regression 
10524,ElasticNet,pKd pKi pIC50,ki,245335113.5001697,1.7153955364621875e+19,4134460792.6369705,-0.079731,[-0.176 ~ 0.018],-3.641308792547816e+18,GAP,size120,r regression 
10525,SVR,pKd pKi pIC50,ki,1.4040227571363326,3.055305396599264,1.0348713068851134,0.627258,[0.564 ~ 0.683],0.351443,GAP,size120,r regression 
10526,DecisionTree,pKd pKi pIC50,ki,1.687719298245614,4.476539649122807,1.9587924295562291,0.479704,[0.401 ~ 0.552],0.049755,GAP,size120,r regression 
10527,RandomForest,pKd pKi pIC50,ki,1.3753210526315789,2.819551374912281,1.1272511189975072,0.657866,[0.599 ~ 0.71],0.401487,GAP,size120,r regression 
10528,XGBoost,pKd pKi pIC50,ki,1.4835740786100686,3.387307821910304,1.409677267074585,0.541198,[0.468 ~ 0.607],0.280969,GAP,size120,r regression 
10529,linearRegression,pKd pKi pIC50,ki,1027172386.2453958,3.006986856711726e+20,17310216710.267185,-0.079731,[-0.176 ~ 0.018],-6.382998817288509e+19,final,size120,mutual info regression
10530,Ridge,pKd pKi pIC50,ki,1025186954.1752872,2.995373620518038e+20,17276757617.014503,-0.079731,[-0.176 ~ 0.018],-6.358347138906959e+19,final,size120,mutual info regression
10531,Lasso,pKd pKi pIC50,ki,900587903.1871037,2.311516921041388e+20,15176977087.995302,-0.079731,[-0.176 ~ 0.018],-4.90670909991411e+19,final,size120,mutual info regression
10532,ElasticNet,pKd pKi pIC50,ki,925044355.4730346,2.438765112017822e+20,15589124546.902851,-0.079731,[-0.176 ~ 0.018],-5.176821704727051e+19,final,size120,mutual info regression
10533,SVR,pKd pKi pIC50,ki,1.343883944645785,2.792717199884953,1.0423747874256333,0.672693,[0.615 ~ 0.723],0.407184,final,size120,mutual info regression
10534,DecisionTree,pKd pKi pIC50,ki,1.687824561403509,4.628971578947369,1.7131512814166152,0.415818,[0.332 ~ 0.493],0.017398,final,size120,mutual info regression
10535,RandomForest,pKd pKi pIC50,ki,1.303614385964912,2.6489035007368416,1.117101743612252,0.686023,[0.631 ~ 0.734],0.437711,final,size120,mutual info regression
10536,XGBoost,pKd pKi pIC50,ki,1.3409974329095138,2.9255881893341438,1.4860389232635498,0.619712,[0.556 ~ 0.676],0.378979,final,size120,mutual info regression
10537,linearRegression,pKd pKi pIC50,ki,5.127348405956793e+22,7.492564977679283e+47,8.6407611215698e+23,-0.079731,[-0.176 ~ 0.018],-1.5904636657867858e+47,GAP,size120,mutual info regression
10538,Ridge,pKd pKi pIC50,ki,193530127.50106996,1.0674364238431971e+19,3261427651.7361183,-0.079731,[-0.176 ~ 0.018],-2.265871370775664e+18,GAP,size120,mutual info regression
10539,Lasso,pKd pKi pIC50,ki,1.4810642590978331,11.042477738141404,3.1581008174195437,0.272875,[0.18 ~ 0.361],-1.344012,GAP,size120,mutual info regression
10540,ElasticNet,pKd pKi pIC50,ki,100561816.76730669,2.882113422881998e+18,1694697832.5180705,-0.079731,[-0.176 ~ 0.018],-6.117927163028755e+17,GAP,size120,mutual info regression
10541,SVR,pKd pKi pIC50,ki,1.330315036700174,2.7412779436225367,1.0944904442108438,0.67102,[0.614 ~ 0.721],0.418103,GAP,size120,mutual info regression
10542,DecisionTree,pKd pKi pIC50,ki,1.6249122807017544,4.288194385964912,1.7995240313217271,0.47081,[0.391 ~ 0.543],0.089735,GAP,size120,mutual info regression
10543,RandomForest,pKd pKi pIC50,ki,1.287545964912281,2.547440045754386,1.1706869188254467,0.70071,[0.647 ~ 0.747],0.459249,GAP,size120,mutual info regression
10544,XGBoost,pKd pKi pIC50,ki,1.33669314481501,2.7989553249816144,1.3946889638900757,0.63799,[0.576 ~ 0.692],0.405859,GAP,size120,mutual info regression
10545,linearRegression,pKd pKi pIC50,ki,1.912261416589913e+23,1.0421719617328619e+49,3.222600220330601e+24,-0.079731,[-0.176 ~ 0.018],-2.2122419272648768e+48,final,size125,f regression 
10546,Ridge,pKd pKi pIC50,ki,282245925.6312787,2.270388699176627e+19,4756492849.593378,-0.079731,[-0.176 ~ 0.018],-4.819405295797378e+18,final,size125,f regression 
10547,Lasso,pKd pKi pIC50,ki,1.821545800250829,80.50218628598785,8.919104859441692,0.108061,[0.011 ~ 0.204],-16.088381,final,size125,f regression 
10548,ElasticNet,pKd pKi pIC50,ki,237500348.27524063,1.607582814542105e+19,4002426979.865757,-0.079731,[-0.176 ~ 0.018],-3.4124522962287457e+18,final,size125,f regression 
10549,SVR,pKd pKi pIC50,ki,1.348593901948674,2.851098985237878,1.0631017536957763,0.648994,[0.589 ~ 0.702],0.394791,final,size125,f regression 
10550,DecisionTree,pKd pKi pIC50,ki,1.6717894736842107,4.496790877192982,1.746149333775573,0.434731,[0.352 ~ 0.511],0.045456,final,size125,f regression 
10551,RandomForest,pKd pKi pIC50,ki,1.309097894736842,2.6219855674035086,1.115378599249885,0.693636,[0.639 ~ 0.741],0.443425,final,size125,f regression 
10552,XGBoost,pKd pKi pIC50,ki,1.372071195602417,2.9093088598510137,1.4466581344604492,0.621889,[0.558 ~ 0.678],0.382434,final,size125,f regression 
10553,linearRegression,pKd pKi pIC50,ki,9.98877398030027e+22,2.8436047604414255e+48,1.6833381121683407e+24,0.079731,[-0.018 ~ 0.176],-6.0361839567806485e+47,GAP,size125,f regression 
10554,Ridge,pKd pKi pIC50,ki,275671027.4310527,2.165843657945708e+19,4645690698.179078,-0.079731,[-0.176 ~ 0.018],-4.597485178973168e+18,GAP,size125,f regression 
10555,Lasso,pKd pKi pIC50,ki,1.6222414997946124,30.41947707682268,5.412905416255666,0.160978,[0.064 ~ 0.255],-5.457211,GAP,size125,f regression 
10556,ElasticNet,pKd pKi pIC50,ki,150924668.78245988,6.491802711376991e+18,2543427698.051336,-0.079731,[-0.176 ~ 0.018],-1.3780296025005924e+18,GAP,size125,f regression 
10557,SVR,pKd pKi pIC50,ki,1.3473733423084826,2.822676190259009,1.1052900722136276,0.648659,[0.588 ~ 0.702],0.400824,GAP,size125,f regression 
10558,DecisionTree,pKd pKi pIC50,ki,1.6815438596491228,4.545392982456141,1.886391737584472,0.455406,[0.374 ~ 0.529],0.035139,GAP,size125,f regression 
10559,RandomForest,pKd pKi pIC50,ki,1.2753547368421052,2.550283504385965,1.1845921498590408,0.698134,[0.644 ~ 0.745],0.458646,GAP,size125,f regression 
10560,XGBoost,pKd pKi pIC50,ki,1.326155488265188,2.657673438155918,1.3976364135742188,0.660486,[0.602 ~ 0.712],0.43585,GAP,size125,f regression 
10561,linearRegression,pKd pKi pIC50,ki,1.836320161322629e+22,9.610404444407904e+46,3.094621742161569e+23,-0.079731,[-0.176 ~ 0.018],-2.040022225750644e+46,final,size125,r regression 
10562,Ridge,pKd pKi pIC50,ki,266190281.62643588,2.019432046680873e+19,4485918322.910375,-0.079731,[-0.176 ~ 0.018],-4.286693949721599e+18,final,size125,r regression 
10563,Lasso,pKd pKi pIC50,ki,2.3240209942213506,180.7974177337089,13.361251232813242,0.069473,[-0.028 ~ 0.166],-37.378276,final,size125,r regression 
10564,ElasticNet,pKd pKi pIC50,ki,214940987.41485864,1.316689371657221e+19,3622249865.4438176,-0.079731,[-0.176 ~ 0.018],-2.794966224499899e+18,final,size125,r regression 
10565,SVR,pKd pKi pIC50,ki,1.519717100104628,3.56482117480156,1.0263212329515876,0.53083,[0.457 ~ 0.597],0.243287,final,size125,r regression 
10566,DecisionTree,pKd pKi pIC50,ki,1.8293684210526315,5.208815087719298,1.8796266880163937,0.373053,[0.286 ~ 0.454],-0.105687,final,size125,r regression 
10567,RandomForest,pKd pKi pIC50,ki,1.5087950877192984,3.399027359859649,1.0517335319790837,0.550183,[0.478 ~ 0.615],0.278481,final,size125,r regression 
10568,XGBoost,pKd pKi pIC50,ki,1.5450901274430124,3.797105824289826,1.2914741039276123,0.484262,[0.406 ~ 0.556],0.19398,final,size125,r regression 
10569,linearRegression,pKd pKi pIC50,ki,1.736785611427962e+23,8.596809141180118e+48,2.9268831371579363e+24,-0.079731,[-0.176 ~ 0.018],-1.82486406477394e+48,GAP,size125,r regression 
10570,Ridge,pKd pKi pIC50,ki,285601930.4843441,2.3247011549115294e+19,4813049250.260492,-0.079731,[-0.176 ~ 0.018],-4.934695570494163e+18,GAP,size125,r regression 
10571,Lasso,pKd pKi pIC50,ki,1.845763226016395,59.5024104498214,7.62398861905742,0.115149,[0.018 ~ 0.21],-11.630711,GAP,size125,r regression 
10572,ElasticNet,pKd pKi pIC50,ki,228232672.48577344,1.4845693301741306e+19,3846245331.247029,-0.079731,[-0.176 ~ 0.018],-3.151328798638881e+18,GAP,size125,r regression 
10573,SVR,pKd pKi pIC50,ki,1.4187927971641865,3.110544381987021,1.0303039438484491,0.616948,[0.553 ~ 0.674],0.339718,GAP,size125,r regression 
10574,DecisionTree,pKd pKi pIC50,ki,1.7770175438596492,4.894747017543859,1.941752960644675,0.425533,[0.342 ~ 0.502],-0.039019,GAP,size125,r regression 
10575,RandomForest,pKd pKi pIC50,ki,1.372072631578947,2.811161087824561,1.110842571512562,0.656633,[0.597 ~ 0.709],0.403268,GAP,size125,r regression 
10576,XGBoost,pKd pKi pIC50,ki,1.3815383975380344,3.048060452240715,1.4339991807937622,0.600847,[0.535 ~ 0.66],0.352981,GAP,size125,r regression 
10577,linearRegression,pKd pKi pIC50,ki,1.860052151227149e+21,9.860412915061523e+44,3.134615602431768e+22,0.079731,[-0.018 ~ 0.176],-2.0930920876601577e+44,final,size125,mutual info regression
10578,Ridge,pKd pKi pIC50,ki,264230355.42975503,1.989803879726356e+19,4452889075.147774,-0.079731,[-0.176 ~ 0.018],-4.223801571523472e+18,final,size125,mutual info regression
10579,Lasso,pKd pKi pIC50,ki,1.3756813025174124,4.322544380856691,1.7773653419399305,0.469041,[0.389 ~ 0.542],0.082444,final,size125,mutual info regression
10580,ElasticNet,pKd pKi pIC50,ki,227884847.69792223,1.4800478402577912e+19,3840383691.500283,-0.079731,[-0.176 ~ 0.018],-3.1417309300203474e+18,final,size125,mutual info regression
10581,SVR,pKd pKi pIC50,ki,1.3197833018698395,2.715961592507114,1.0706757667564042,0.688604,[0.634 ~ 0.737],0.423477,final,size125,mutual info regression
10582,DecisionTree,pKd pKi pIC50,ki,1.6981754385964911,4.555775438596492,1.7625077771494109,0.431093,[0.348 ~ 0.507],0.032935,final,size125,mutual info regression
10583,RandomForest,pKd pKi pIC50,ki,1.3003428070175436,2.621716561017544,1.1069360655078817,0.691942,[0.637 ~ 0.74],0.443482,final,size125,mutual info regression
10584,XGBoost,pKd pKi pIC50,ki,1.329779470477188,2.868114133621997,1.4973993301391602,0.629187,[0.566 ~ 0.685],0.391179,final,size125,mutual info regression
10585,linearRegression,pKd pKi pIC50,ki,1597.4258671413731,725701302.0036616,26891.336703675275,-0.079724,[-0.176 ~ 0.018],-154046251.049787,GAP,size125,mutual info regression
10586,Ridge,pKd pKi pIC50,ki,1.6248093578164955,29.83840026730272,5.167095441415957,0.079356,[-0.018 ~ 0.176],-5.333865,GAP,size125,mutual info regression
10587,Lasso,pKd pKi pIC50,ki,1.6726369281823068,41.429811721623786,6.149551201705596,0.051222,[-0.047 ~ 0.148],-7.7944,GAP,size125,mutual info regression
10588,ElasticNet,pKd pKi pIC50,ki,1.6051477898279063,27.427422723091656,4.931136000313481,0.083497,[-0.014 ~ 0.18],-4.822081,GAP,size125,mutual info regression
10589,SVR,pKd pKi pIC50,ki,1.327603859060478,2.7272206060364264,1.0861663674119104,0.674796,[0.618 ~ 0.725],0.421087,GAP,size125,mutual info regression
